# Every line stores data for the host of one SN Ia event.
# log10(Mstar/Msun)	err_log10(Mstar/Msun	log10(Z)	scat_log10(Z)
1.055e+01	3.000e-01	-1.777e+00	2.000e-01
8.018e+00	3.000e-01	-2.565e+00	2.000e-01
1.130e+01	3.000e-01	-2.292e+00	2.000e-01
9.773e+00	3.000e-01	-2.753e+00	2.000e-01
1.067e+01	3.000e-01	-2.956e+00	2.000e-01
1.000e+01	3.000e-01	-2.560e+00	2.000e-01
1.111e+01	3.000e-01	-2.360e+00	2.000e-01
8.413e+00	3.000e-01	-2.050e+00	2.000e-01
1.107e+01	3.000e-01	-2.781e+00	2.000e-01
1.117e+01	3.000e-01	-2.124e+00	2.000e-01
1.106e+01	3.000e-01	-2.225e+00	2.000e-01
9.123e+00	3.000e-01	-1.731e+00	2.000e-01
1.060e+01	3.000e-01	-2.023e+00	2.000e-01
1.059e+01	3.000e-01	-2.954e+00	2.000e-01
9.934e+00	3.000e-01	-2.621e+00	2.000e-01
1.072e+01	3.000e-01	-1.884e+00	2.000e-01
1.080e+01	3.000e-01	-1.890e+00	2.000e-01
1.077e+01	3.000e-01	-2.604e+00	2.000e-01
1.040e+01	3.000e-01	-1.790e+00	2.000e-01
7.267e+00	3.000e-01	-2.316e+00	2.000e-01
1.154e+01	3.000e-01	-2.437e+00	2.000e-01
1.043e+01	3.000e-01	-2.106e+00	2.000e-01
1.058e+01	3.000e-01	-2.112e+00	2.000e-01
1.067e+01	3.000e-01	-2.865e+00	2.000e-01
9.948e+00	3.000e-01	-2.643e+00	2.000e-01
7.745e+00	3.000e-01	-2.593e+00	2.000e-01
1.003e+01	3.000e-01	-2.006e+00	2.000e-01
1.051e+01	3.000e-01	-2.427e+00	2.000e-01
1.037e+01	3.000e-01	-1.523e+00	2.000e-01
8.571e+00	3.000e-01	-2.529e+00	2.000e-01
1.053e+01	3.000e-01	-2.348e+00	2.000e-01
1.138e+01	3.000e-01	-3.069e+00	2.000e-01
9.784e+00	3.000e-01	-2.502e+00	2.000e-01
1.102e+01	3.000e-01	-1.966e+00	2.000e-01
1.095e+01	3.000e-01	-2.087e+00	2.000e-01
1.007e+01	3.000e-01	-2.697e+00	2.000e-01
1.033e+01	3.000e-01	-1.733e+00	2.000e-01
1.097e+01	3.000e-01	-2.902e+00	2.000e-01
1.122e+01	3.000e-01	-2.266e+00	2.000e-01
7.699e+00	3.000e-01	-2.577e+00	2.000e-01
1.078e+01	3.000e-01	-2.698e+00	2.000e-01
7.545e+00	3.000e-01	-1.873e+00	2.000e-01
8.096e+00	3.000e-01	-2.391e+00	2.000e-01
1.040e+01	3.000e-01	-2.365e+00	2.000e-01
1.048e+01	3.000e-01	-2.721e+00	2.000e-01
1.076e+01	3.000e-01	-2.040e+00	2.000e-01
7.285e+00	3.000e-01	-1.915e+00	2.000e-01
1.097e+01	3.000e-01	-2.075e+00	2.000e-01
1.052e+01	3.000e-01	-2.770e+00	2.000e-01
1.064e+01	3.000e-01	-2.395e+00	2.000e-01
1.071e+01	3.000e-01	-3.001e+00	2.000e-01
9.991e+00	3.000e-01	-1.863e+00	2.000e-01
8.742e+00	3.000e-01	-2.305e+00	2.000e-01
1.096e+01	3.000e-01	-2.895e+00	2.000e-01
1.107e+01	3.000e-01	-1.427e+00	2.000e-01
1.080e+01	3.000e-01	-2.705e+00	2.000e-01
1.185e+01	3.000e-01	-2.545e+00	2.000e-01
1.001e+01	3.000e-01	-2.159e+00	2.000e-01
1.130e+01	3.000e-01	-2.385e+00	2.000e-01
1.077e+01	3.000e-01	-2.499e+00	2.000e-01
9.122e+00	3.000e-01	-2.299e+00	2.000e-01
1.066e+01	3.000e-01	-2.361e+00	2.000e-01
1.019e+01	3.000e-01	-2.934e+00	2.000e-01
7.436e+00	3.000e-01	-2.061e+00	2.000e-01
1.091e+01	3.000e-01	-2.746e+00	2.000e-01
1.108e+01	3.000e-01	-2.621e+00	2.000e-01
1.072e+01	3.000e-01	-2.656e+00	2.000e-01
9.232e+00	3.000e-01	-2.822e+00	2.000e-01
1.038e+01	3.000e-01	-2.407e+00	2.000e-01
1.035e+01	3.000e-01	-2.936e+00	2.000e-01
1.117e+01	3.000e-01	-2.279e+00	2.000e-01
1.011e+01	3.000e-01	-2.228e+00	2.000e-01
1.115e+01	3.000e-01	-2.078e+00	2.000e-01
1.065e+01	3.000e-01	-2.529e+00	2.000e-01
1.114e+01	3.000e-01	-1.827e+00	2.000e-01
1.062e+01	3.000e-01	-2.482e+00	2.000e-01
9.888e+00	3.000e-01	-2.667e+00	2.000e-01
9.283e+00	3.000e-01	-2.084e+00	2.000e-01
8.682e+00	3.000e-01	-3.131e+00	2.000e-01
1.139e+01	3.000e-01	-2.494e+00	2.000e-01
7.990e+00	3.000e-01	-2.407e+00	2.000e-01
9.431e+00	3.000e-01	-2.485e+00	2.000e-01
9.816e+00	3.000e-01	-2.620e+00	2.000e-01
1.052e+01	3.000e-01	-3.073e+00	2.000e-01
1.026e+01	3.000e-01	-2.398e+00	2.000e-01
1.195e+01	3.000e-01	-2.967e+00	2.000e-01
1.008e+01	3.000e-01	-2.505e+00	2.000e-01
1.049e+01	3.000e-01	-2.388e+00	2.000e-01
1.129e+01	3.000e-01	-2.540e+00	2.000e-01
8.310e+00	3.000e-01	-2.868e+00	2.000e-01
1.113e+01	3.000e-01	-2.933e+00	2.000e-01
9.937e+00	3.000e-01	-2.468e+00	2.000e-01
1.012e+01	3.000e-01	-2.925e+00	2.000e-01
1.098e+01	3.000e-01	-1.887e+00	2.000e-01
1.098e+01	3.000e-01	-2.903e+00	2.000e-01
1.071e+01	3.000e-01	-1.912e+00	2.000e-01
8.115e+00	3.000e-01	-2.364e+00	2.000e-01
1.036e+01	3.000e-01	-2.627e+00	2.000e-01
1.079e+01	3.000e-01	-2.271e+00	2.000e-01
1.021e+01	3.000e-01	-2.562e+00	2.000e-01
1.017e+01	3.000e-01	-2.394e+00	2.000e-01
9.144e+00	3.000e-01	-2.787e+00	2.000e-01
9.688e+00	3.000e-01	-2.611e+00	2.000e-01
1.044e+01	3.000e-01	-2.462e+00	2.000e-01
1.079e+01	3.000e-01	-1.927e+00	2.000e-01
9.866e+00	3.000e-01	-2.369e+00	2.000e-01
7.328e+00	3.000e-01	-1.941e+00	2.000e-01
7.537e+00	3.000e-01	-1.895e+00	2.000e-01
8.607e+00	3.000e-01	-2.401e+00	2.000e-01
1.020e+01	3.000e-01	-2.792e+00	2.000e-01
9.577e+00	3.000e-01	-3.141e+00	2.000e-01
1.089e+01	3.000e-01	-1.672e+00	2.000e-01
8.706e+00	3.000e-01	-1.974e+00	2.000e-01
1.116e+01	3.000e-01	-1.955e+00	2.000e-01
1.056e+01	3.000e-01	-2.911e+00	2.000e-01
9.999e+00	3.000e-01	-3.059e+00	2.000e-01
1.045e+01	3.000e-01	-2.555e+00	2.000e-01
1.013e+01	3.000e-01	-2.107e+00	2.000e-01
1.030e+01	3.000e-01	-2.540e+00	2.000e-01
1.103e+01	3.000e-01	-2.556e+00	2.000e-01
1.124e+01	3.000e-01	-2.272e+00	2.000e-01
8.948e+00	3.000e-01	-2.350e+00	2.000e-01
1.096e+01	3.000e-01	-3.064e+00	2.000e-01
1.094e+01	3.000e-01	-2.126e+00	2.000e-01
1.052e+01	3.000e-01	-2.223e+00	2.000e-01
1.133e+01	3.000e-01	-1.839e+00	2.000e-01
9.205e+00	3.000e-01	-2.631e+00	2.000e-01
1.079e+01	3.000e-01	-2.118e+00	2.000e-01
8.681e+00	3.000e-01	-2.598e+00	2.000e-01
1.078e+01	3.000e-01	-2.831e+00	2.000e-01
7.310e+00	3.000e-01	-1.928e+00	2.000e-01
1.058e+01	3.000e-01	-1.971e+00	2.000e-01
1.033e+01	3.000e-01	-2.777e+00	2.000e-01
8.736e+00	3.000e-01	-2.775e+00	2.000e-01
7.575e+00	3.000e-01	-2.637e+00	2.000e-01
1.041e+01	3.000e-01	-2.421e+00	2.000e-01
7.842e+00	3.000e-01	-2.695e+00	2.000e-01
1.001e+01	3.000e-01	-2.455e+00	2.000e-01
1.050e+01	3.000e-01	-2.650e+00	2.000e-01
1.120e+01	3.000e-01	-2.642e+00	2.000e-01
1.038e+01	3.000e-01	-2.675e+00	2.000e-01
1.108e+01	3.000e-01	-2.159e+00	2.000e-01
1.013e+01	3.000e-01	-2.812e+00	2.000e-01
1.104e+01	3.000e-01	-2.380e+00	2.000e-01
8.497e+00	3.000e-01	-2.854e+00	2.000e-01
9.544e+00	3.000e-01	-1.425e+00	2.000e-01
1.032e+01	3.000e-01	-2.586e+00	2.000e-01
9.255e+00	3.000e-01	-1.695e+00	2.000e-01
1.089e+01	3.000e-01	-2.452e+00	2.000e-01
1.120e+01	3.000e-01	-2.764e+00	2.000e-01
1.070e+01	3.000e-01	-3.061e+00	2.000e-01
8.449e+00	3.000e-01	-2.190e+00	2.000e-01
7.490e+00	3.000e-01	-2.689e+00	2.000e-01
1.050e+01	3.000e-01	-2.892e+00	2.000e-01
8.630e+00	3.000e-01	-2.487e+00	2.000e-01
1.163e+01	3.000e-01	-1.787e+00	2.000e-01
9.864e+00	3.000e-01	-2.794e+00	2.000e-01
1.051e+01	3.000e-01	-2.049e+00	2.000e-01
1.048e+01	3.000e-01	-1.842e+00	2.000e-01
7.595e+00	3.000e-01	-2.629e+00	2.000e-01
1.105e+01	3.000e-01	-2.360e+00	2.000e-01
1.019e+01	3.000e-01	-2.431e+00	2.000e-01
1.149e+01	3.000e-01	-2.526e+00	2.000e-01
1.083e+01	3.000e-01	-2.896e+00	2.000e-01
1.001e+01	3.000e-01	-1.994e+00	2.000e-01
1.073e+01	3.000e-01	-1.849e+00	2.000e-01
7.478e+00	3.000e-01	-1.528e+00	2.000e-01
8.383e+00	3.000e-01	-2.533e+00	2.000e-01
8.520e+00	3.000e-01	-2.565e+00	2.000e-01
1.014e+01	3.000e-01	-2.480e+00	2.000e-01
1.048e+01	3.000e-01	-2.907e+00	2.000e-01
1.071e+01	3.000e-01	-2.907e+00	2.000e-01
9.924e+00	3.000e-01	-2.534e+00	2.000e-01
8.007e+00	3.000e-01	-2.849e+00	2.000e-01
8.208e+00	3.000e-01	-2.566e+00	2.000e-01
9.977e+00	3.000e-01	-2.655e+00	2.000e-01
1.062e+01	3.000e-01	-2.001e+00	2.000e-01
9.997e+00	3.000e-01	-2.523e+00	2.000e-01
7.636e+00	3.000e-01	-2.493e+00	2.000e-01
1.014e+01	3.000e-01	-2.559e+00	2.000e-01
9.817e+00	3.000e-01	-2.154e+00	2.000e-01
1.108e+01	3.000e-01	-2.986e+00	2.000e-01
1.052e+01	3.000e-01	-2.098e+00	2.000e-01
1.124e+01	3.000e-01	-2.400e+00	2.000e-01
9.033e+00	3.000e-01	-2.811e+00	2.000e-01
1.039e+01	3.000e-01	-2.402e+00	2.000e-01
9.464e+00	3.000e-01	-1.917e+00	2.000e-01
1.076e+01	3.000e-01	-2.092e+00	2.000e-01
9.552e+00	3.000e-01	-2.390e+00	2.000e-01
1.109e+01	3.000e-01	-2.501e+00	2.000e-01
9.065e+00	3.000e-01	-2.272e+00	2.000e-01
1.085e+01	3.000e-01	-2.419e+00	2.000e-01
1.048e+01	3.000e-01	-2.202e+00	2.000e-01
7.777e+00	3.000e-01	-2.493e+00	2.000e-01
1.054e+01	3.000e-01	-2.680e+00	2.000e-01
9.492e+00	3.000e-01	-2.733e+00	2.000e-01
1.046e+01	3.000e-01	-3.163e+00	2.000e-01
1.040e+01	3.000e-01	-2.399e+00	2.000e-01
7.424e+00	3.000e-01	-2.134e+00	2.000e-01
1.001e+01	3.000e-01	-2.262e+00	2.000e-01
1.032e+01	3.000e-01	-2.146e+00	2.000e-01
8.397e+00	3.000e-01	-2.663e+00	2.000e-01
1.038e+01	3.000e-01	-2.503e+00	2.000e-01
7.365e+00	3.000e-01	-2.661e+00	2.000e-01
9.572e+00	3.000e-01	-2.705e+00	2.000e-01
9.666e+00	3.000e-01	-2.151e+00	2.000e-01
1.040e+01	3.000e-01	-2.331e+00	2.000e-01
1.092e+01	3.000e-01	-2.041e+00	2.000e-01
9.419e+00	3.000e-01	-2.529e+00	2.000e-01
1.018e+01	3.000e-01	-2.674e+00	2.000e-01
1.021e+01	3.000e-01	-2.226e+00	2.000e-01
9.747e+00	3.000e-01	-2.508e+00	2.000e-01
1.030e+01	3.000e-01	-1.643e+00	2.000e-01
1.040e+01	3.000e-01	-2.732e+00	2.000e-01
1.081e+01	3.000e-01	-2.541e+00	2.000e-01
1.151e+01	3.000e-01	-2.695e+00	2.000e-01
1.015e+01	3.000e-01	-2.135e+00	2.000e-01
9.811e+00	3.000e-01	-1.957e+00	2.000e-01
8.421e+00	3.000e-01	-2.499e+00	2.000e-01
1.058e+01	3.000e-01	-2.660e+00	2.000e-01
1.016e+01	3.000e-01	-2.490e+00	2.000e-01
1.099e+01	3.000e-01	-1.999e+00	2.000e-01
9.090e+00	3.000e-01	-2.232e+00	2.000e-01
1.098e+01	3.000e-01	-2.453e+00	2.000e-01
8.498e+00	3.000e-01	-2.593e+00	2.000e-01
9.577e+00	3.000e-01	-2.084e+00	2.000e-01
1.070e+01	3.000e-01	-1.891e+00	2.000e-01
9.475e+00	3.000e-01	-2.711e+00	2.000e-01
7.893e+00	3.000e-01	-1.820e+00	2.000e-01
9.748e+00	3.000e-01	-2.281e+00	2.000e-01
8.171e+00	3.000e-01	-2.511e+00	2.000e-01
7.703e+00	3.000e-01	-3.049e+00	2.000e-01
1.070e+01	3.000e-01	-1.929e+00	2.000e-01
1.088e+01	3.000e-01	-2.199e+00	2.000e-01
8.701e+00	3.000e-01	-2.961e+00	2.000e-01
9.803e+00	3.000e-01	-2.247e+00	2.000e-01
1.082e+01	3.000e-01	-2.761e+00	2.000e-01
8.956e+00	3.000e-01	-2.458e+00	2.000e-01
1.018e+01	3.000e-01	-2.180e+00	2.000e-01
1.058e+01	3.000e-01	-1.566e+00	2.000e-01
7.782e+00	3.000e-01	-2.753e+00	2.000e-01
1.044e+01	3.000e-01	-2.048e+00	2.000e-01
7.340e+00	3.000e-01	-2.679e+00	2.000e-01
8.554e+00	3.000e-01	-2.339e+00	2.000e-01
1.141e+01	3.000e-01	-2.309e+00	2.000e-01
1.082e+01	3.000e-01	-1.898e+00	2.000e-01
9.218e+00	3.000e-01	-1.616e+00	2.000e-01
7.836e+00	3.000e-01	-2.288e+00	2.000e-01
1.039e+01	3.000e-01	-2.492e+00	2.000e-01
1.095e+01	3.000e-01	-2.507e+00	2.000e-01
1.091e+01	3.000e-01	-1.705e+00	2.000e-01
1.067e+01	3.000e-01	-1.907e+00	2.000e-01
1.063e+01	3.000e-01	-2.714e+00	2.000e-01
1.070e+01	3.000e-01	-2.812e+00	2.000e-01
1.108e+01	3.000e-01	-2.037e+00	2.000e-01
8.767e+00	3.000e-01	-2.122e+00	2.000e-01
8.354e+00	3.000e-01	-2.338e+00	2.000e-01
1.103e+01	3.000e-01	-2.434e+00	2.000e-01
1.073e+01	3.000e-01	-2.045e+00	2.000e-01
1.019e+01	3.000e-01	-2.522e+00	2.000e-01
1.102e+01	3.000e-01	-2.600e+00	2.000e-01
1.104e+01	3.000e-01	-1.909e+00	2.000e-01
9.469e+00	3.000e-01	-2.264e+00	2.000e-01
1.130e+01	3.000e-01	-3.056e+00	2.000e-01
1.087e+01	3.000e-01	-2.298e+00	2.000e-01
1.136e+01	3.000e-01	-2.932e+00	2.000e-01
8.621e+00	3.000e-01	-2.376e+00	2.000e-01
8.511e+00	3.000e-01	-2.478e+00	2.000e-01
7.588e+00	3.000e-01	-1.804e+00	2.000e-01
1.089e+01	3.000e-01	-2.193e+00	2.000e-01
1.063e+01	3.000e-01	-1.946e+00	2.000e-01
8.375e+00	3.000e-01	-1.966e+00	2.000e-01
9.152e+00	3.000e-01	-2.524e+00	2.000e-01
8.763e+00	3.000e-01	-2.650e+00	2.000e-01
1.097e+01	3.000e-01	-2.932e+00	2.000e-01
1.165e+01	3.000e-01	-1.755e+00	2.000e-01
1.033e+01	3.000e-01	-1.787e+00	2.000e-01
9.944e+00	3.000e-01	-2.873e+00	2.000e-01
9.876e+00	3.000e-01	-2.509e+00	2.000e-01
1.156e+01	3.000e-01	-2.438e+00	2.000e-01
1.053e+01	3.000e-01	-2.605e+00	2.000e-01
1.029e+01	3.000e-01	-2.649e+00	2.000e-01
1.073e+01	3.000e-01	-2.514e+00	2.000e-01
9.235e+00	3.000e-01	-2.491e+00	2.000e-01
1.098e+01	3.000e-01	-2.788e+00	2.000e-01
9.486e+00	3.000e-01	-2.507e+00	2.000e-01
7.685e+00	3.000e-01	-2.701e+00	2.000e-01
1.109e+01	3.000e-01	-2.074e+00	2.000e-01
1.106e+01	3.000e-01	-2.735e+00	2.000e-01
1.061e+01	3.000e-01	-2.533e+00	2.000e-01
1.053e+01	3.000e-01	-2.451e+00	2.000e-01
9.978e+00	3.000e-01	-3.048e+00	2.000e-01
1.144e+01	3.000e-01	-2.268e+00	2.000e-01
9.377e+00	3.000e-01	-2.875e+00	2.000e-01
1.078e+01	3.000e-01	-2.706e+00	2.000e-01
1.063e+01	3.000e-01	-1.524e+00	2.000e-01
8.978e+00	3.000e-01	-2.840e+00	2.000e-01
1.064e+01	3.000e-01	-2.628e+00	2.000e-01
1.035e+01	3.000e-01	-1.894e+00	2.000e-01
9.825e+00	3.000e-01	-1.860e+00	2.000e-01
1.084e+01	3.000e-01	-2.364e+00	2.000e-01
1.009e+01	3.000e-01	-1.582e+00	2.000e-01
1.024e+01	3.000e-01	-2.087e+00	2.000e-01
1.003e+01	3.000e-01	-2.096e+00	2.000e-01
1.125e+01	3.000e-01	-3.012e+00	2.000e-01
1.095e+01	3.000e-01	-2.347e+00	2.000e-01
1.042e+01	3.000e-01	-2.614e+00	2.000e-01
8.456e+00	3.000e-01	-2.720e+00	2.000e-01
1.093e+01	3.000e-01	-1.938e+00	2.000e-01
8.833e+00	3.000e-01	-2.517e+00	2.000e-01
8.099e+00	3.000e-01	-2.212e+00	2.000e-01
7.097e+00	3.000e-01	-2.627e+00	2.000e-01
1.002e+01	3.000e-01	-1.878e+00	2.000e-01
8.501e+00	3.000e-01	-2.062e+00	2.000e-01
7.419e+00	3.000e-01	-2.198e+00	2.000e-01
1.077e+01	3.000e-01	-2.405e+00	2.000e-01
9.809e+00	3.000e-01	-2.687e+00	2.000e-01
1.009e+01	3.000e-01	-1.827e+00	2.000e-01
1.095e+01	3.000e-01	-2.695e+00	2.000e-01
1.091e+01	3.000e-01	-2.361e+00	2.000e-01
7.354e+00	3.000e-01	-2.060e+00	2.000e-01
1.035e+01	3.000e-01	-2.361e+00	2.000e-01
9.972e+00	3.000e-01	-3.021e+00	2.000e-01
9.834e+00	3.000e-01	-2.649e+00	2.000e-01
1.108e+01	3.000e-01	-2.493e+00	2.000e-01
9.612e+00	3.000e-01	-2.349e+00	2.000e-01
1.061e+01	3.000e-01	-2.098e+00	2.000e-01
8.796e+00	3.000e-01	-2.400e+00	2.000e-01
7.636e+00	3.000e-01	-2.432e+00	2.000e-01
1.087e+01	3.000e-01	-2.828e+00	2.000e-01
9.512e+00	3.000e-01	-2.681e+00	2.000e-01
7.851e+00	3.000e-01	-2.603e+00	2.000e-01
1.015e+01	3.000e-01	-2.201e+00	2.000e-01
9.875e+00	3.000e-01	-2.005e+00	2.000e-01
9.345e+00	3.000e-01	-2.344e+00	2.000e-01
7.994e+00	3.000e-01	-2.316e+00	2.000e-01
1.095e+01	3.000e-01	-1.688e+00	2.000e-01
1.046e+01	3.000e-01	-2.166e+00	2.000e-01
1.004e+01	3.000e-01	-1.914e+00	2.000e-01
1.137e+01	3.000e-01	-2.063e+00	2.000e-01
1.050e+01	3.000e-01	-2.842e+00	2.000e-01
1.072e+01	3.000e-01	-2.687e+00	2.000e-01
9.402e+00	3.000e-01	-2.712e+00	2.000e-01
7.604e+00	3.000e-01	-1.734e+00	2.000e-01
1.030e+01	3.000e-01	-2.663e+00	2.000e-01
1.072e+01	3.000e-01	-1.868e+00	2.000e-01
1.006e+01	3.000e-01	-2.278e+00	2.000e-01
9.909e+00	3.000e-01	-3.017e+00	2.000e-01
9.749e+00	3.000e-01	-2.833e+00	2.000e-01
7.346e+00	3.000e-01	-1.792e+00	2.000e-01
1.125e+01	3.000e-01	-2.618e+00	2.000e-01
1.100e+01	3.000e-01	-1.914e+00	2.000e-01
1.072e+01	3.000e-01	-2.171e+00	2.000e-01
1.007e+01	3.000e-01	-2.555e+00	2.000e-01
1.077e+01	3.000e-01	-2.433e+00	2.000e-01
1.040e+01	3.000e-01	-1.487e+00	2.000e-01
1.176e+01	3.000e-01	-2.376e+00	2.000e-01
9.840e+00	3.000e-01	-2.983e+00	2.000e-01
8.879e+00	3.000e-01	-2.449e+00	2.000e-01
1.091e+01	3.000e-01	-2.330e+00	2.000e-01
8.693e+00	3.000e-01	-1.841e+00	2.000e-01
1.103e+01	3.000e-01	-2.888e+00	2.000e-01
1.114e+01	3.000e-01	-2.981e+00	2.000e-01
1.046e+01	3.000e-01	-2.845e+00	2.000e-01
1.089e+01	3.000e-01	-2.176e+00	2.000e-01
1.028e+01	3.000e-01	-2.287e+00	2.000e-01
1.031e+01	3.000e-01	-1.901e+00	2.000e-01
9.324e+00	3.000e-01	-1.999e+00	2.000e-01
9.749e+00	3.000e-01	-2.460e+00	2.000e-01
8.836e+00	3.000e-01	-2.367e+00	2.000e-01
1.102e+01	3.000e-01	-2.282e+00	2.000e-01
1.023e+01	3.000e-01	-1.642e+00	2.000e-01
1.055e+01	3.000e-01	-2.232e+00	2.000e-01
7.709e+00	3.000e-01	-2.026e+00	2.000e-01
7.889e+00	3.000e-01	-1.608e+00	2.000e-01
1.079e+01	3.000e-01	-2.237e+00	2.000e-01
1.108e+01	3.000e-01	-2.221e+00	2.000e-01
8.437e+00	3.000e-01	-3.318e+00	2.000e-01
9.902e+00	3.000e-01	-1.976e+00	2.000e-01
1.025e+01	3.000e-01	-2.363e+00	2.000e-01
1.038e+01	3.000e-01	-2.925e+00	2.000e-01
1.079e+01	3.000e-01	-2.785e+00	2.000e-01
1.005e+01	3.000e-01	-2.064e+00	2.000e-01
1.139e+01	3.000e-01	-2.375e+00	2.000e-01
1.020e+01	3.000e-01	-2.221e+00	2.000e-01
1.028e+01	3.000e-01	-2.426e+00	2.000e-01
1.003e+01	3.000e-01	-2.929e+00	2.000e-01
1.117e+01	3.000e-01	-2.746e+00	2.000e-01
8.974e+00	3.000e-01	-2.510e+00	2.000e-01
1.093e+01	3.000e-01	-2.281e+00	2.000e-01
1.074e+01	3.000e-01	-2.119e+00	2.000e-01
8.408e+00	3.000e-01	-2.542e+00	2.000e-01
1.072e+01	3.000e-01	-2.418e+00	2.000e-01
1.041e+01	3.000e-01	-2.364e+00	2.000e-01
8.593e+00	3.000e-01	-2.561e+00	2.000e-01
9.688e+00	3.000e-01	-2.441e+00	2.000e-01
1.059e+01	3.000e-01	-2.250e+00	2.000e-01
9.531e+00	3.000e-01	-2.045e+00	2.000e-01
1.051e+01	3.000e-01	-2.388e+00	2.000e-01
8.974e+00	3.000e-01	-2.065e+00	2.000e-01
1.037e+01	3.000e-01	-2.927e+00	2.000e-01
9.095e+00	3.000e-01	-2.782e+00	2.000e-01
9.433e+00	3.000e-01	-2.650e+00	2.000e-01
1.063e+01	3.000e-01	-1.589e+00	2.000e-01
8.862e+00	3.000e-01	-1.556e+00	2.000e-01
1.154e+01	3.000e-01	-2.291e+00	2.000e-01
8.639e+00	3.000e-01	-2.435e+00	2.000e-01
