# Every line stores data for the host of one SN Ia event.
# log10(Mstar/Msun)	err_log10(Mstar/Msun	log10(Z)	scat_log10(Z)
1.033e+01	3.000e-01	-2.412e+00	2.000e-01
1.125e+01	3.000e-01	-2.716e+00	2.000e-01
7.141e+00	3.000e-01	-2.930e+00	2.000e-01
9.433e+00	3.000e-01	-2.677e+00	2.000e-01
1.063e+01	3.000e-01	-2.431e+00	2.000e-01
9.733e+00	3.000e-01	-2.818e+00	2.000e-01
9.653e+00	3.000e-01	-2.401e+00	2.000e-01
7.702e+00	3.000e-01	-2.786e+00	2.000e-01
1.118e+01	3.000e-01	-2.536e+00	2.000e-01
8.080e+00	3.000e-01	-2.360e+00	2.000e-01
1.131e+01	3.000e-01	-2.531e+00	2.000e-01
1.010e+01	3.000e-01	-2.747e+00	2.000e-01
7.633e+00	3.000e-01	-1.786e+00	2.000e-01
1.008e+01	3.000e-01	-2.898e+00	2.000e-01
9.983e+00	3.000e-01	-2.719e+00	2.000e-01
1.036e+01	3.000e-01	-2.375e+00	2.000e-01
1.116e+01	3.000e-01	-1.845e+00	2.000e-01
1.049e+01	3.000e-01	-2.255e+00	2.000e-01
1.061e+01	3.000e-01	-2.732e+00	2.000e-01
1.050e+01	3.000e-01	-1.760e+00	2.000e-01
9.188e+00	3.000e-01	-3.284e+00	2.000e-01
1.013e+01	3.000e-01	-2.511e+00	2.000e-01
8.345e+00	3.000e-01	-2.644e+00	2.000e-01
1.048e+01	3.000e-01	-1.982e+00	2.000e-01
8.136e+00	3.000e-01	-2.129e+00	2.000e-01
1.109e+01	3.000e-01	-3.055e+00	2.000e-01
9.480e+00	3.000e-01	-2.600e+00	2.000e-01
1.101e+01	3.000e-01	-2.330e+00	2.000e-01
9.972e+00	3.000e-01	-1.798e+00	2.000e-01
9.859e+00	3.000e-01	-2.012e+00	2.000e-01
1.035e+01	3.000e-01	-2.240e+00	2.000e-01
8.159e+00	3.000e-01	-1.704e+00	2.000e-01
1.083e+01	3.000e-01	-1.677e+00	2.000e-01
1.014e+01	3.000e-01	-2.264e+00	2.000e-01
9.484e+00	3.000e-01	-2.948e+00	2.000e-01
8.230e+00	3.000e-01	-2.685e+00	2.000e-01
1.019e+01	3.000e-01	-2.407e+00	2.000e-01
9.210e+00	3.000e-01	-2.958e+00	2.000e-01
1.092e+01	3.000e-01	-2.349e+00	2.000e-01
1.081e+01	3.000e-01	-2.674e+00	2.000e-01
9.591e+00	3.000e-01	-2.076e+00	2.000e-01
9.360e+00	3.000e-01	-3.168e+00	2.000e-01
9.996e+00	3.000e-01	-2.502e+00	2.000e-01
9.623e+00	3.000e-01	-2.086e+00	2.000e-01
8.440e+00	3.000e-01	-1.925e+00	2.000e-01
1.023e+01	3.000e-01	-1.928e+00	2.000e-01
1.004e+01	3.000e-01	-2.604e+00	2.000e-01
1.015e+01	3.000e-01	-2.969e+00	2.000e-01
1.134e+01	3.000e-01	-1.798e+00	2.000e-01
9.114e+00	3.000e-01	-2.094e+00	2.000e-01
8.650e+00	3.000e-01	-2.594e+00	2.000e-01
8.629e+00	3.000e-01	-1.782e+00	2.000e-01
9.913e+00	3.000e-01	-2.245e+00	2.000e-01
1.099e+01	3.000e-01	-2.269e+00	2.000e-01
9.455e+00	3.000e-01	-2.303e+00	2.000e-01
1.022e+01	3.000e-01	-1.920e+00	2.000e-01
7.918e+00	3.000e-01	-2.900e+00	2.000e-01
1.099e+01	3.000e-01	-2.605e+00	2.000e-01
1.063e+01	3.000e-01	-2.253e+00	2.000e-01
1.017e+01	3.000e-01	-1.950e+00	2.000e-01
1.090e+01	3.000e-01	-2.570e+00	2.000e-01
1.157e+01	3.000e-01	-2.104e+00	2.000e-01
1.153e+01	3.000e-01	-2.595e+00	2.000e-01
1.009e+01	3.000e-01	-2.623e+00	2.000e-01
1.103e+01	3.000e-01	-2.790e+00	2.000e-01
1.117e+01	3.000e-01	-2.364e+00	2.000e-01
1.048e+01	3.000e-01	-2.005e+00	2.000e-01
9.865e+00	3.000e-01	-2.355e+00	2.000e-01
9.340e+00	3.000e-01	-2.650e+00	2.000e-01
1.042e+01	3.000e-01	-1.685e+00	2.000e-01
1.011e+01	3.000e-01	-2.859e+00	2.000e-01
1.093e+01	3.000e-01	-2.425e+00	2.000e-01
1.006e+01	3.000e-01	-2.525e+00	2.000e-01
1.162e+01	3.000e-01	-2.930e+00	2.000e-01
8.853e+00	3.000e-01	-1.967e+00	2.000e-01
1.088e+01	3.000e-01	-2.542e+00	2.000e-01
1.029e+01	3.000e-01	-1.801e+00	2.000e-01
1.096e+01	3.000e-01	-2.425e+00	2.000e-01
1.024e+01	3.000e-01	-2.161e+00	2.000e-01
1.018e+01	3.000e-01	-1.704e+00	2.000e-01
1.070e+01	3.000e-01	-2.234e+00	2.000e-01
1.075e+01	3.000e-01	-2.138e+00	2.000e-01
9.234e+00	3.000e-01	-2.944e+00	2.000e-01
1.027e+01	3.000e-01	-2.291e+00	2.000e-01
1.104e+01	3.000e-01	-2.274e+00	2.000e-01
1.045e+01	3.000e-01	-2.489e+00	2.000e-01
1.074e+01	3.000e-01	-2.985e+00	2.000e-01
9.769e+00	3.000e-01	-1.821e+00	2.000e-01
1.135e+01	3.000e-01	-2.542e+00	2.000e-01
1.038e+01	3.000e-01	-2.815e+00	2.000e-01
1.095e+01	3.000e-01	-1.888e+00	2.000e-01
9.470e+00	3.000e-01	-2.439e+00	2.000e-01
1.062e+01	3.000e-01	-2.310e+00	2.000e-01
1.060e+01	3.000e-01	-2.309e+00	2.000e-01
1.102e+01	3.000e-01	-2.375e+00	2.000e-01
1.062e+01	3.000e-01	-2.312e+00	2.000e-01
9.757e+00	3.000e-01	-1.820e+00	2.000e-01
1.033e+01	3.000e-01	-2.546e+00	2.000e-01
1.026e+01	3.000e-01	-2.467e+00	2.000e-01
1.126e+01	3.000e-01	-2.494e+00	2.000e-01
1.116e+01	3.000e-01	-2.932e+00	2.000e-01
1.080e+01	3.000e-01	-2.377e+00	2.000e-01
1.075e+01	3.000e-01	-2.618e+00	2.000e-01
1.141e+01	3.000e-01	-1.917e+00	2.000e-01
1.064e+01	3.000e-01	-1.854e+00	2.000e-01
1.038e+01	3.000e-01	-2.286e+00	2.000e-01
1.067e+01	3.000e-01	-2.667e+00	2.000e-01
9.036e+00	3.000e-01	-1.612e+00	2.000e-01
8.805e+00	3.000e-01	-2.388e+00	2.000e-01
1.130e+01	3.000e-01	-2.795e+00	2.000e-01
1.118e+01	3.000e-01	-2.214e+00	2.000e-01
1.093e+01	3.000e-01	-2.796e+00	2.000e-01
1.104e+01	3.000e-01	-2.463e+00	2.000e-01
7.861e+00	3.000e-01	-2.594e+00	2.000e-01
1.029e+01	3.000e-01	-2.425e+00	2.000e-01
1.038e+01	3.000e-01	-2.863e+00	2.000e-01
1.131e+01	3.000e-01	-2.788e+00	2.000e-01
1.053e+01	3.000e-01	-2.666e+00	2.000e-01
1.038e+01	3.000e-01	-2.690e+00	2.000e-01
7.351e+00	3.000e-01	-2.411e+00	2.000e-01
1.033e+01	3.000e-01	-2.879e+00	2.000e-01
1.055e+01	3.000e-01	-2.496e+00	2.000e-01
9.889e+00	3.000e-01	-2.526e+00	2.000e-01
1.121e+01	3.000e-01	-2.857e+00	2.000e-01
1.003e+01	3.000e-01	-2.490e+00	2.000e-01
1.131e+01	3.000e-01	-2.714e+00	2.000e-01
1.035e+01	3.000e-01	-1.505e+00	2.000e-01
8.689e+00	3.000e-01	-2.702e+00	2.000e-01
1.110e+01	3.000e-01	-1.945e+00	2.000e-01
9.050e+00	3.000e-01	-2.737e+00	2.000e-01
9.988e+00	3.000e-01	-2.913e+00	2.000e-01
1.067e+01	3.000e-01	-2.024e+00	2.000e-01
9.963e+00	3.000e-01	-2.851e+00	2.000e-01
9.492e+00	3.000e-01	-2.874e+00	2.000e-01
9.755e+00	3.000e-01	-2.737e+00	2.000e-01
1.124e+01	3.000e-01	-2.467e+00	2.000e-01
1.059e+01	3.000e-01	-2.378e+00	2.000e-01
1.067e+01	3.000e-01	-2.429e+00	2.000e-01
1.051e+01	3.000e-01	-2.897e+00	2.000e-01
1.075e+01	3.000e-01	-1.670e+00	2.000e-01
7.494e+00	3.000e-01	-1.991e+00	2.000e-01
9.501e+00	3.000e-01	-2.314e+00	2.000e-01
9.119e+00	3.000e-01	-2.768e+00	2.000e-01
1.130e+01	3.000e-01	-3.056e+00	2.000e-01
1.062e+01	3.000e-01	-1.527e+00	2.000e-01
1.090e+01	3.000e-01	-2.537e+00	2.000e-01
9.099e+00	3.000e-01	-2.553e+00	2.000e-01
1.109e+01	3.000e-01	-2.607e+00	2.000e-01
1.027e+01	3.000e-01	-2.599e+00	2.000e-01
1.021e+01	3.000e-01	-2.642e+00	2.000e-01
9.736e+00	3.000e-01	-1.815e+00	2.000e-01
1.005e+01	3.000e-01	-2.282e+00	2.000e-01
9.222e+00	3.000e-01	-2.698e+00	2.000e-01
1.059e+01	3.000e-01	-2.730e+00	2.000e-01
1.132e+01	3.000e-01	-2.050e+00	2.000e-01
1.112e+01	3.000e-01	-3.139e+00	2.000e-01
1.117e+01	3.000e-01	-2.603e+00	2.000e-01
1.107e+01	3.000e-01	-2.413e+00	2.000e-01
1.082e+01	3.000e-01	-1.659e+00	2.000e-01
1.116e+01	3.000e-01	-2.648e+00	2.000e-01
8.625e+00	3.000e-01	-1.894e+00	2.000e-01
8.826e+00	3.000e-01	-2.061e+00	2.000e-01
1.051e+01	3.000e-01	-2.894e+00	2.000e-01
9.829e+00	3.000e-01	-1.717e+00	2.000e-01
1.058e+01	3.000e-01	-1.719e+00	2.000e-01
1.045e+01	3.000e-01	-2.859e+00	2.000e-01
9.251e+00	3.000e-01	-2.780e+00	2.000e-01
1.101e+01	3.000e-01	-2.940e+00	2.000e-01
1.057e+01	3.000e-01	-2.396e+00	2.000e-01
1.099e+01	3.000e-01	-2.478e+00	2.000e-01
8.636e+00	3.000e-01	-2.482e+00	2.000e-01
1.167e+01	3.000e-01	-2.703e+00	2.000e-01
1.101e+01	3.000e-01	-2.775e+00	2.000e-01
9.323e+00	3.000e-01	-2.777e+00	2.000e-01
9.417e+00	3.000e-01	-2.114e+00	2.000e-01
9.817e+00	3.000e-01	-2.787e+00	2.000e-01
9.642e+00	3.000e-01	-2.535e+00	2.000e-01
1.014e+01	3.000e-01	-2.958e+00	2.000e-01
1.098e+01	3.000e-01	-1.954e+00	2.000e-01
1.179e+01	3.000e-01	-2.738e+00	2.000e-01
9.365e+00	3.000e-01	-2.182e+00	2.000e-01
1.070e+01	3.000e-01	-2.539e+00	2.000e-01
1.049e+01	3.000e-01	-2.663e+00	2.000e-01
1.012e+01	3.000e-01	-2.893e+00	2.000e-01
1.038e+01	3.000e-01	-1.907e+00	2.000e-01
9.245e+00	3.000e-01	-2.695e+00	2.000e-01
1.008e+01	3.000e-01	-2.719e+00	2.000e-01
1.064e+01	3.000e-01	-2.531e+00	2.000e-01
1.083e+01	3.000e-01	-1.562e+00	2.000e-01
1.077e+01	3.000e-01	-2.667e+00	2.000e-01
1.112e+01	3.000e-01	-2.044e+00	2.000e-01
9.896e+00	3.000e-01	-2.010e+00	2.000e-01
1.032e+01	3.000e-01	-2.544e+00	2.000e-01
1.075e+01	3.000e-01	-2.480e+00	2.000e-01
9.147e+00	3.000e-01	-2.318e+00	2.000e-01
1.088e+01	3.000e-01	-2.623e+00	2.000e-01
1.003e+01	3.000e-01	-2.572e+00	2.000e-01
1.007e+01	3.000e-01	-2.169e+00	2.000e-01
9.875e+00	3.000e-01	-1.615e+00	2.000e-01
1.076e+01	3.000e-01	-1.986e+00	2.000e-01
1.062e+01	3.000e-01	-2.931e+00	2.000e-01
1.007e+01	3.000e-01	-2.456e+00	2.000e-01
1.029e+01	3.000e-01	-2.617e+00	2.000e-01
1.002e+01	3.000e-01	-2.590e+00	2.000e-01
1.013e+01	3.000e-01	-2.774e+00	2.000e-01
1.057e+01	3.000e-01	-2.492e+00	2.000e-01
1.082e+01	3.000e-01	-2.588e+00	2.000e-01
1.072e+01	3.000e-01	-2.770e+00	2.000e-01
1.063e+01	3.000e-01	-2.649e+00	2.000e-01
1.138e+01	3.000e-01	-2.038e+00	2.000e-01
1.091e+01	3.000e-01	-2.740e+00	2.000e-01
1.112e+01	3.000e-01	-3.180e+00	2.000e-01
1.067e+01	3.000e-01	-2.540e+00	2.000e-01
1.044e+01	3.000e-01	-1.852e+00	2.000e-01
1.025e+01	3.000e-01	-2.740e+00	2.000e-01
1.058e+01	3.000e-01	-1.808e+00	2.000e-01
9.744e+00	3.000e-01	-2.440e+00	2.000e-01
1.069e+01	3.000e-01	-2.155e+00	2.000e-01
1.004e+01	3.000e-01	-2.479e+00	2.000e-01
7.524e+00	3.000e-01	-2.094e+00	2.000e-01
1.098e+01	3.000e-01	-1.932e+00	2.000e-01
1.059e+01	3.000e-01	-2.115e+00	2.000e-01
1.032e+01	3.000e-01	-2.702e+00	2.000e-01
1.122e+01	3.000e-01	-2.246e+00	2.000e-01
1.034e+01	3.000e-01	-2.139e+00	2.000e-01
1.163e+01	3.000e-01	-2.547e+00	2.000e-01
9.715e+00	3.000e-01	-2.763e+00	2.000e-01
1.087e+01	3.000e-01	-2.477e+00	2.000e-01
1.057e+01	3.000e-01	-2.794e+00	2.000e-01
7.807e+00	3.000e-01	-2.440e+00	2.000e-01
1.099e+01	3.000e-01	-2.776e+00	2.000e-01
1.036e+01	3.000e-01	-2.320e+00	2.000e-01
1.123e+01	3.000e-01	-2.543e+00	2.000e-01
9.918e+00	3.000e-01	-2.492e+00	2.000e-01
1.024e+01	3.000e-01	-2.527e+00	2.000e-01
9.933e+00	3.000e-01	-2.466e+00	2.000e-01
8.786e+00	3.000e-01	-2.581e+00	2.000e-01
1.032e+01	3.000e-01	-2.394e+00	2.000e-01
8.573e+00	3.000e-01	-2.002e+00	2.000e-01
1.049e+01	3.000e-01	-2.254e+00	2.000e-01
1.149e+01	3.000e-01	-2.492e+00	2.000e-01
7.488e+00	3.000e-01	-2.098e+00	2.000e-01
1.124e+01	3.000e-01	-2.279e+00	2.000e-01
9.672e+00	3.000e-01	-2.086e+00	2.000e-01
9.482e+00	3.000e-01	-2.510e+00	2.000e-01
1.057e+01	3.000e-01	-1.415e+00	2.000e-01
1.101e+01	3.000e-01	-2.386e+00	2.000e-01
8.628e+00	3.000e-01	-2.407e+00	2.000e-01
9.908e+00	3.000e-01	-2.618e+00	2.000e-01
1.062e+01	3.000e-01	-2.348e+00	2.000e-01
1.084e+01	3.000e-01	-1.940e+00	2.000e-01
1.010e+01	3.000e-01	-2.611e+00	2.000e-01
9.735e+00	3.000e-01	-2.543e+00	2.000e-01
1.078e+01	3.000e-01	-2.664e+00	2.000e-01
8.728e+00	3.000e-01	-2.042e+00	2.000e-01
8.248e+00	3.000e-01	-2.215e+00	2.000e-01
1.031e+01	3.000e-01	-2.184e+00	2.000e-01
1.087e+01	3.000e-01	-2.627e+00	2.000e-01
1.014e+01	3.000e-01	-1.901e+00	2.000e-01
1.093e+01	3.000e-01	-1.829e+00	2.000e-01
1.039e+01	3.000e-01	-2.901e+00	2.000e-01
1.091e+01	3.000e-01	-1.757e+00	2.000e-01
9.389e+00	3.000e-01	-2.298e+00	2.000e-01
1.050e+01	3.000e-01	-2.116e+00	2.000e-01
1.088e+01	3.000e-01	-2.366e+00	2.000e-01
1.016e+01	3.000e-01	-2.245e+00	2.000e-01
1.071e+01	3.000e-01	-2.302e+00	2.000e-01
1.144e+01	3.000e-01	-2.450e+00	2.000e-01
1.119e+01	3.000e-01	-2.197e+00	2.000e-01
9.837e+00	3.000e-01	-2.564e+00	2.000e-01
1.123e+01	3.000e-01	-2.777e+00	2.000e-01
9.370e+00	3.000e-01	-2.287e+00	2.000e-01
1.058e+01	3.000e-01	-1.827e+00	2.000e-01
1.141e+01	3.000e-01	-2.693e+00	2.000e-01
8.067e+00	3.000e-01	-2.336e+00	2.000e-01
9.877e+00	3.000e-01	-2.733e+00	2.000e-01
1.084e+01	3.000e-01	-2.137e+00	2.000e-01
9.949e+00	3.000e-01	-2.452e+00	2.000e-01
1.103e+01	3.000e-01	-1.885e+00	2.000e-01
9.450e+00	3.000e-01	-1.675e+00	2.000e-01
9.308e+00	3.000e-01	-2.156e+00	2.000e-01
9.501e+00	3.000e-01	-2.656e+00	2.000e-01
1.107e+01	3.000e-01	-2.369e+00	2.000e-01
1.000e+01	3.000e-01	-1.595e+00	2.000e-01
1.144e+01	3.000e-01	-2.063e+00	2.000e-01
7.331e+00	3.000e-01	-2.422e+00	2.000e-01
1.132e+01	3.000e-01	-2.906e+00	2.000e-01
1.044e+01	3.000e-01	-1.855e+00	2.000e-01
8.291e+00	3.000e-01	-2.228e+00	2.000e-01
1.075e+01	3.000e-01	-2.537e+00	2.000e-01
1.028e+01	3.000e-01	-2.067e+00	2.000e-01
8.304e+00	3.000e-01	-2.122e+00	2.000e-01
1.111e+01	3.000e-01	-2.682e+00	2.000e-01
9.343e+00	3.000e-01	-2.299e+00	2.000e-01
1.028e+01	3.000e-01	-2.043e+00	2.000e-01
1.078e+01	3.000e-01	-2.596e+00	2.000e-01
1.053e+01	3.000e-01	-2.955e+00	2.000e-01
1.088e+01	3.000e-01	-1.861e+00	2.000e-01
1.043e+01	3.000e-01	-2.419e+00	2.000e-01
1.042e+01	3.000e-01	-2.393e+00	2.000e-01
1.049e+01	3.000e-01	-2.576e+00	2.000e-01
1.031e+01	3.000e-01	-1.630e+00	2.000e-01
1.035e+01	3.000e-01	-2.454e+00	2.000e-01
1.056e+01	3.000e-01	-2.483e+00	2.000e-01
1.061e+01	3.000e-01	-1.283e+00	2.000e-01
1.086e+01	3.000e-01	-2.586e+00	2.000e-01
9.511e+00	3.000e-01	-2.825e+00	2.000e-01
1.094e+01	3.000e-01	-2.602e+00	2.000e-01
1.012e+01	3.000e-01	-1.997e+00	2.000e-01
9.621e+00	3.000e-01	-1.973e+00	2.000e-01
8.916e+00	3.000e-01	-2.654e+00	2.000e-01
9.599e+00	3.000e-01	-2.305e+00	2.000e-01
1.028e+01	3.000e-01	-1.881e+00	2.000e-01
9.834e+00	3.000e-01	-2.910e+00	2.000e-01
9.450e+00	3.000e-01	-2.620e+00	2.000e-01
7.662e+00	3.000e-01	-2.550e+00	2.000e-01
8.423e+00	3.000e-01	-2.905e+00	2.000e-01
1.042e+01	3.000e-01	-2.680e+00	2.000e-01
1.067e+01	3.000e-01	-2.495e+00	2.000e-01
1.046e+01	3.000e-01	-2.851e+00	2.000e-01
9.341e+00	3.000e-01	-2.340e+00	2.000e-01
1.168e+01	3.000e-01	-2.337e+00	2.000e-01
1.077e+01	3.000e-01	-2.384e+00	2.000e-01
1.116e+01	3.000e-01	-2.548e+00	2.000e-01
8.185e+00	3.000e-01	-2.872e+00	2.000e-01
1.008e+01	3.000e-01	-2.249e+00	2.000e-01
1.044e+01	3.000e-01	-3.087e+00	2.000e-01
8.919e+00	3.000e-01	-2.241e+00	2.000e-01
1.041e+01	3.000e-01	-1.655e+00	2.000e-01
7.807e+00	3.000e-01	-2.277e+00	2.000e-01
9.197e+00	3.000e-01	-2.650e+00	2.000e-01
1.048e+01	3.000e-01	-1.404e+00	2.000e-01
1.021e+01	3.000e-01	-2.175e+00	2.000e-01
1.091e+01	3.000e-01	-2.639e+00	2.000e-01
1.076e+01	3.000e-01	-1.951e+00	2.000e-01
8.577e+00	3.000e-01	-1.604e+00	2.000e-01
1.025e+01	3.000e-01	-2.127e+00	2.000e-01
1.063e+01	3.000e-01	-2.224e+00	2.000e-01
9.160e+00	3.000e-01	-2.260e+00	2.000e-01
8.862e+00	3.000e-01	-2.753e+00	2.000e-01
1.102e+01	3.000e-01	-2.754e+00	2.000e-01
9.518e+00	3.000e-01	-1.876e+00	2.000e-01
1.051e+01	3.000e-01	-2.699e+00	2.000e-01
1.163e+01	3.000e-01	-1.989e+00	2.000e-01
1.009e+01	3.000e-01	-2.853e+00	2.000e-01
9.474e+00	3.000e-01	-2.025e+00	2.000e-01
1.130e+01	3.000e-01	-2.172e+00	2.000e-01
1.126e+01	3.000e-01	-2.060e+00	2.000e-01
1.091e+01	3.000e-01	-3.090e+00	2.000e-01
9.893e+00	3.000e-01	-2.726e+00	2.000e-01
1.023e+01	3.000e-01	-2.123e+00	2.000e-01
1.040e+01	3.000e-01	-2.514e+00	2.000e-01
1.145e+01	3.000e-01	-2.296e+00	2.000e-01
9.004e+00	3.000e-01	-1.841e+00	2.000e-01
8.847e+00	3.000e-01	-2.323e+00	2.000e-01
1.020e+01	3.000e-01	-2.996e+00	2.000e-01
9.917e+00	3.000e-01	-2.387e+00	2.000e-01
9.494e+00	3.000e-01	-2.591e+00	2.000e-01
1.007e+01	3.000e-01	-2.068e+00	2.000e-01
1.014e+01	3.000e-01	-1.958e+00	2.000e-01
1.007e+01	3.000e-01	-2.254e+00	2.000e-01
1.053e+01	3.000e-01	-2.302e+00	2.000e-01
1.131e+01	3.000e-01	-2.623e+00	2.000e-01
1.082e+01	3.000e-01	-2.820e+00	2.000e-01
8.651e+00	3.000e-01	-2.678e+00	2.000e-01
9.381e+00	3.000e-01	-1.783e+00	2.000e-01
1.052e+01	3.000e-01	-1.784e+00	2.000e-01
1.094e+01	3.000e-01	-2.832e+00	2.000e-01
9.379e+00	3.000e-01	-1.862e+00	2.000e-01
9.183e+00	3.000e-01	-1.831e+00	2.000e-01
8.595e+00	3.000e-01	-1.826e+00	2.000e-01
9.414e+00	3.000e-01	-1.920e+00	2.000e-01
1.175e+01	3.000e-01	-1.938e+00	2.000e-01
1.054e+01	3.000e-01	-2.605e+00	2.000e-01
1.057e+01	3.000e-01	-2.375e+00	2.000e-01
9.143e+00	3.000e-01	-2.848e+00	2.000e-01
1.096e+01	3.000e-01	-1.997e+00	2.000e-01
1.080e+01	3.000e-01	-2.522e+00	2.000e-01
1.056e+01	3.000e-01	-1.708e+00	2.000e-01
7.990e+00	3.000e-01	-1.998e+00	2.000e-01
8.839e+00	3.000e-01	-2.804e+00	2.000e-01
1.121e+01	3.000e-01	-2.757e+00	2.000e-01
1.078e+01	3.000e-01	-1.591e+00	2.000e-01
1.129e+01	3.000e-01	-2.803e+00	2.000e-01
1.028e+01	3.000e-01	-2.334e+00	2.000e-01
1.036e+01	3.000e-01	-2.154e+00	2.000e-01
8.928e+00	3.000e-01	-2.591e+00	2.000e-01
1.036e+01	3.000e-01	-2.211e+00	2.000e-01
9.803e+00	3.000e-01	-1.830e+00	2.000e-01
1.137e+01	3.000e-01	-2.792e+00	2.000e-01
1.036e+01	3.000e-01	-2.582e+00	2.000e-01
1.134e+01	3.000e-01	-2.578e+00	2.000e-01
1.056e+01	3.000e-01	-2.011e+00	2.000e-01
1.048e+01	3.000e-01	-1.818e+00	2.000e-01
1.064e+01	3.000e-01	-2.994e+00	2.000e-01
8.741e+00	3.000e-01	-2.483e+00	2.000e-01
1.049e+01	3.000e-01	-2.538e+00	2.000e-01
1.054e+01	3.000e-01	-2.369e+00	2.000e-01
1.036e+01	3.000e-01	-2.370e+00	2.000e-01
1.098e+01	3.000e-01	-2.096e+00	2.000e-01
1.113e+01	3.000e-01	-1.534e+00	2.000e-01
1.051e+01	3.000e-01	-2.628e+00	2.000e-01
1.071e+01	3.000e-01	-2.099e+00	2.000e-01
1.080e+01	3.000e-01	-2.366e+00	2.000e-01
1.048e+01	3.000e-01	-1.878e+00	2.000e-01
1.090e+01	3.000e-01	-2.623e+00	2.000e-01
9.558e+00	3.000e-01	-1.951e+00	2.000e-01
1.027e+01	3.000e-01	-1.500e+00	2.000e-01
1.107e+01	3.000e-01	-2.345e+00	2.000e-01
1.097e+01	3.000e-01	-2.278e+00	2.000e-01
1.102e+01	3.000e-01	-2.919e+00	2.000e-01
1.101e+01	3.000e-01	-1.807e+00	2.000e-01
1.010e+01	3.000e-01	-2.426e+00	2.000e-01
9.863e+00	3.000e-01	-3.040e+00	2.000e-01
8.767e+00	3.000e-01	-2.255e+00	2.000e-01
1.124e+01	3.000e-01	-2.289e+00	2.000e-01
1.156e+01	3.000e-01	-2.487e+00	2.000e-01
9.936e+00	3.000e-01	-2.595e+00	2.000e-01
9.875e+00	3.000e-01	-2.726e+00	2.000e-01
8.475e+00	3.000e-01	-2.475e+00	2.000e-01
1.035e+01	3.000e-01	-2.749e+00	2.000e-01
1.028e+01	3.000e-01	-2.596e+00	2.000e-01
9.956e+00	3.000e-01	-2.573e+00	2.000e-01
8.096e+00	3.000e-01	-1.835e+00	2.000e-01
1.109e+01	3.000e-01	-2.470e+00	2.000e-01
1.001e+01	3.000e-01	-2.183e+00	2.000e-01
1.107e+01	3.000e-01	-2.367e+00	2.000e-01
1.013e+01	3.000e-01	-2.587e+00	2.000e-01
9.507e+00	3.000e-01	-1.945e+00	2.000e-01
8.957e+00	3.000e-01	-1.992e+00	2.000e-01
1.077e+01	3.000e-01	-2.244e+00	2.000e-01
8.456e+00	3.000e-01	-2.904e+00	2.000e-01
9.549e+00	3.000e-01	-1.955e+00	2.000e-01
9.677e+00	3.000e-01	-3.060e+00	2.000e-01
1.070e+01	3.000e-01	-2.296e+00	2.000e-01
8.036e+00	3.000e-01	-2.507e+00	2.000e-01
1.065e+01	3.000e-01	-1.481e+00	2.000e-01
7.169e+00	3.000e-01	-1.857e+00	2.000e-01
1.095e+01	3.000e-01	-2.356e+00	2.000e-01
1.007e+01	3.000e-01	-2.356e+00	2.000e-01
